time	diffusion_coefficient	number_of_branches
2015.01403646248	0.019480004973286	0
2015.06086334738	0.0280253660723101	0
2015.10769023228	NA	0
2015.15451711718	NA	0
2015.20134400208	NA	0
2015.24817088698	NA	0
2015.29499777188	NA	0
2015.34182465678	0.440487595567418	0
2015.38865154168	34.3496653954328	0
2015.43547842658	57.2894447752677	0
2015.48230531148	128.303748086501	0
2015.52913219638	262.559293977184	0
2015.57595908128	370.667824335618	0
2015.62278596618	NA	0
2015.66961285108	139.498181419301	0
2015.71643973598	170.609643039285	0
2015.76326662088	280.77134081923	0
2015.81009350578	92.6644428843519	0
2015.85692039068	129.753894583169	0
2015.90374727558	NA	0
2015.95057416048	NA	0
2015.99740104538	111.991774083617	0
2016.04422793028	8.6834535398938	0
2016.09105481518	27.2575975343147	0
2016.13788170008	42.277615056973	0
2016.18470858498	59.8740924162108	0
2016.23153546988	25.8075815207232	0
2016.27836235478	55.8248528918179	0
2016.32518923968	96.0286970276581	0
2016.37201612458	169.590248846576	0
2016.41884300948	243.406767783594	0
2016.46566989438	52.3030627448007	0
2016.51249677928	78.7704161712275	0
2016.55932366418	131.627576086803	0
2016.60615054907	207.08398964982	0
2016.65297743397	25.5050093818492	0
2016.69980431887	69.9785786002484	0
2016.74663120377	134.453401873368	0
2016.79345808867	81.6216372977898	0
2016.84028497357	83.5861846633857	0
2016.88711185847	68.8106681523685	0
2016.93393874337	79.1486821556486	0
2016.98076562827	76.6736193869706	0
2017.02759251317	118.348261564662	0
2017.07441939807	179.187824154483	0
2017.12124628297	166.399395578198	0
2017.16807316787	57.1121138424448	0
2017.21490005277	58.7080414999858	0
2017.26172693767	96.4002577645428	0
2017.30855382257	82.8279582864991	0
2017.35538070747	173.826174779886	0
2017.40220759237	132.331189977533	0
2017.44903447727	93.3296181828655	0
2017.49586136217	108.873554068425	0
2017.54268824707	146.189531297564	0
2017.58951513197	45.8092664281403	0
2017.63634201687	122.891373654591	0
2017.68316890177	139.32558492392	0
2017.72999578667	131.18122274394	0
2017.77682267157	195.147802265278	0
2017.82364955647	314.35441402562	0
2017.87047644137	894.648553480385	0
2017.91730332627	20.5081646204838	0
2017.96413021117	72.0803404427194	0
2018.01095709607	866.373174857721	0
2018.05778398097	1294.1709708362	0
2018.10461086587	23.1376316856954	0
2018.15143775077	67.0067405126037	0
2018.19826463567	116.001226259278	0
2018.24509152057	190.229748901313	0
2018.29191840547	272.718665703358	0
2018.33874529037	182.773650800499	0
2018.38557217527	241.023793440216	0
2018.43239906017	298.170148043503	0
2018.47922594507	NA	0
2018.52605282997	NA	0
2018.57287971487	NA	0
2018.61970659977	NA	0
2018.66653348467	NA	0
2018.71336036957	NA	0
2018.76018725447	NA	0
2018.80701413937	NA	0
2018.85384102427	NA	0
2018.90066790917	NA	0
2018.94749479407	NA	0
2018.99432167897	NA	0
2019.04114856387	NA	0
2019.08797544877	NA	0
2019.13480233367	NA	0
2019.18162921857	NA	0
2019.22845610347	NA	0
2019.27528298837	NA	0
2019.32210987327	NA	0
2019.36893675817	NA	0
2019.41576364307	NA	0
2019.46259052797	NA	0
2019.50941741287	NA	0
2019.55624429777	NA	0
2019.60307118267	NA	0
2019.64989806757	NA	0
2019.69672495247	NA	0
2019.74355183736	NA	0
2019.79037872226	NA	0
2019.83720560716	NA	0
2019.88403249206	NA	0
2019.93085937696	34.4377575917179	0
2019.97768626186	85.1580422742399	0
2020.02451314676	135.879626914834	0
2020.07134003166	NA	0
2020.11816691656	NA	0
2020.16499380146	NA	0
2020.21182068636	NA	0
2020.25864757126	NA	0
2020.30547445616	NA	0
2020.35230134106	NA	0
2020.39912822596	NA	0
2020.44595511086	NA	0
2020.49278199576	NA	0
2020.53960888066	NA	0
2020.58643576556	NA	0
2020.63326265046	NA	0
2020.68008953536	NA	0
2020.72691642026	NA	0
2020.77374330516	NA	0
2020.82057019006	NA	0
2020.86739707496	NA	0
2020.91422395986	NA	0
2020.96105084476	NA	0
2021.00787772966	NA	0
2021.05470461456	NA	0
2021.10153149946	1952.6416097452	0
2021.14835838436	1342.449567075	0
2021.19518526926	732.18008614074	0
2021.24201215416	595.15035738272	0
2021.28883903906	747.637917010231	0
2021.33566592396	426.890071885873	0
2021.38249280886	106.222532904925	0
2021.42931969376	NA	0
2021.47614657866	NA	0
2021.52297346356	NA	0
2021.56980034846	NA	0
2021.61662723336	861.70013299729	0
2021.66345411826	751.414461292863	0
2021.71028100316	698.859231607136	0
2021.75710788806	1450.88337269571	0
2021.80393477296	3330.38311474864	0
2021.85076165786	2820.22629177089	0
2021.89758854276	4591.62957006747	0
2021.94441542766	5673.10808088667	0
2021.99124231256	6874.73265798406	0
2022.03806919746	2111.90048252011	0
2022.08489608236	3523.19440168631	0
2022.13172296726	2002.94872668877	0
2022.17854985216	1746.2191526519	0
2022.22537673706	3665.98063839355	0
2022.27220362196	1692.360389889	0
2022.31903050686	1847.15680757827	0
2022.36585739176	4902.99825696425	0
2022.41268427666	9026.70150204469	0
2022.45951116156	15393.1849292638	0
2022.50633804646	17170.5034896541	0
2022.55316493136	29175.4489192221	0
2022.59999181626	41988.2032314764	0
2022.64681870116	41265.7481446001	3
2022.69364558606	37925.4920182774	3
2022.74047247096	19621.5930953937	5
2022.78729935586	30487.1112208251	6
2022.83412624075	37966.0818621595	7.5
2022.88095312565	40810.0869550218	10
2022.92778001055	42142.9967093699	14
2022.97460689545	51968.5293655131	19
2023.02143378035	58476.4613527642	28
2023.06826066525	130380.40483036	38.5
2023.11508755015	128177.780250403	50
2023.16191443505	136222.912525192	50
2023.20874131995	101213.789233824	39
2023.25556820485	25411.8474191979	25
2023.30239508975	23621.2351220978	11
