time	diffusion_coefficient	number_of_branches
2015.01403646248	35.2950474169798	0
2015.06086334738	98.7060364885029	0
2015.10769023228	132.610985308485	0
2015.15451711718	166.51446884703	0
2015.20134400208	200.416484866396	0
2015.24817088698	177.564108141004	0
2015.29499777188	268.216105208996	0
2015.34182465678	302.113704992785	0
2015.38865154168	336.009828144007	0
2015.43547842658	369.904472404546	0
2015.48230531148	403.797635477669	0
2015.52913219638	828.899489245185	0
2015.57595908128	471.579509014087	0
2015.62278596618	274.313553837001	0
2015.66961285108	311.394860000252	0
2015.71643973598	204.25193521061	0
2015.76326662088	229.235220289855	0
2015.81009350578	87.0170635158779	0
2015.85692039068	114.825450878954	0
2015.90374727558	142.560995523369	0
2015.95057416048	171.122118218438	0
2015.99740104538	207.907607707691	0
2016.04422793028	217.282519853556	0
2016.09105481518	239.880676638497	0
2016.13788170008	273.033320591244	0
2016.18470858498	314.771895237267	0
2016.23153546988	277.419806081936	0
2016.27836235478	337.271095813182	0
2016.32518923968	324.22738399103	0
2016.37201612458	386.223574075305	0
2016.41884300948	410.614317231546	0
2016.46566989438	436.114279167147	0
2016.51249677928	457.969040915423	0
2016.55932366418	482.043073907371	0
2016.60615054907	506.118079129734	0
2016.65297743397	572.022863010705	0
2016.69980431887	464.158558054577	0
2016.74663120377	681.446626305204	0
2016.79345808867	724.249121603701	0
2016.84028497357	767.054154783544	0
2016.88711185847	661.892260798002	0
2016.93393874337	633.893172893739	0
2016.98076562827	625.060016540758	0
2017.02759251317	648.999004339441	0
2017.07441939807	680.38417825553	0
2017.12124628297	748.819497552371	0
2017.16807316787	779.794397951876	0
2017.21490005277	834.989193803829	0
2017.26172693767	540.175175536664	0
2017.30855382257	507.899182842438	0
2017.35538070747	560.1897364187	0
2017.40220759237	616.337622140293	0
2017.44903447727	688.976506968232	0
2017.49586136217	703.731058419255	0
2017.54268824707	704.58763504023	0
2017.58951513197	807.265450410905	0
2017.63634201687	874.032111011493	0
2017.68316890177	849.34379210665	0
2017.72999578667	919.234265486085	0
2017.77682267157	896.012708227294	0
2017.82364955647	1016.60363971964	0
2017.87047644137	1002.4241956543	0
2017.91730332627	1065.19088867226	0
2017.96413021117	1159.07624214907	0
2018.01095709607	1230.32667822742	0
2018.05778398097	1299.7000675998	0
2018.10461086587	1394.01439626443	0
2018.15143775077	1450.82664083349	0
2018.19826463567	1486.52145296659	0
2018.24509152057	1476.91204712992	0
2018.29191840547	927.597956556234	0
2018.33874529037	981.662968758443	0
2018.38557217527	1075.44073407503	0
2018.43239906017	1210.40226751422	0
2018.47922594507	1436.25049633412	0
2018.52605282997	1398.90410695269	0
2018.57287971487	1493.14466608587	0
2018.61970659977	1544.3368137928	0
2018.66653348467	3326.19904676988	0
2018.71336036957	3507.03992341981	0
2018.76018725447	1870.03744113933	0
2018.80701413937	1919.46138007768	0
2018.85384102427	1968.04498772273	0
2018.90066790917	NA	0
